net,length_um
_114_,250.47
_113_,246.75
_112_,217.05
_094_,200.23
decoder.count\[1\],190.1
_066_,178.98
_116_,168.455
_118_,163.065
decoder.delay\[12\],162.5
decoder.delay\[13\],159.24
decoder.count\[3\],153.22
decoder.delay\[4\],149.41
decoder.delay\[17\],147.36
decoder.delay\[24\],144.22
decoder.delay\[0\],140.22
_088_,140.14
_061_,136.32
_100_,133.16
decoder.count\[2\],132.88
decoder.delay\[5\],132.56
decoder.delay\[16\],132
_059_,128.23
_064_,127.11
decoder.delay\[22\],125.12
_062_,124.84
_109_,123.7
decoder.delay\[11\],123.51
_089_,122.88
_079_,122.84
_051_,120.29
decoder.count\[0\],120.02
decoder.delay\[18\],117.56
decoder.delay\[8\],116.22
_044_,113.99
_110_,110.24
decoder.delay\[20\],108.08
_075_,107.365
_117_,106.86
_065_,103.99
_045_,103.74
_015_,102.7
decoder.delay\[2\],101.88
BTNC,100.94
_070_,100.01
decoder.delay\[3\],99.52
_099_,98.33
_119_,98.31
decoder.delay\[14\],97.47
_050_,97.14
decoder.delay\[1\],96.32
decoder.delay\[21\],96.3
_106_,95.1
_091_,94.9
_031_,94.38
_068_,92.9
clknet_2_2__leaf_CLK100MHZ,90.7
decoder.delay\[9\],89.98
decoder.delay\[6\],89.42
_027_,87.93
decoder.delay\[7\],87.02
_040_,86.27
_067_,86.11
_090_,84.9
_037_,84.02
_073_,82.43
_080_,81.32
_098_,79.22
_071_,78.62
_033_,77.87
_101_,77.1
_107_,76.18
clknet_2_0__leaf_CLK100MHZ,75.9
_038_,75.49
_056_,73.98
net4,70.56
_048_,69.45
decoder.delay\[19\],69.16
_115_,69.04
_052_,68.95
_012_,67.92
decoder.delay\[23\],67.22
_083_,67.16
_095_,67.14
net3,66.44
_084_,66.06
_074_,65.84
CLK100MHZ,65.01
net5,62.96
clknet_2_1__leaf_CLK100MHZ,61.62
_020_,61
clknet_2_3__leaf_CLK100MHZ,59.24
_007_,58.36
_063_,58.16
_004_,58.04
clknet_0_CLK100MHZ,57.59
_005_,56.38
_013_,55.87
_009_,55.32
_078_,54.38
_086_,54.14
_092_,50.99
_026_,49.67
_060_,49.48
_093_,47.94
_024_,47.6
_072_,47.04
_057_,46.62
_069_,46.52
_058_,46.22
_011_,44.78
_041_,42.55
_081_,41.16
_008_,41.07
_096_,40.4
_076_,39.64
_046_,37.14
_054_,37.04
_014_,35.32
_087_,35
_104_,34.18
decoder.delay\[15\],33.56
net2,32.76
_001_,32.7
_025_,32.42
_103_,32.42
_042_,32.3
_034_,32.29
_077_,31.76
net1,31.4
_003_,29.54
_016_,29.47
_021_,29.44
_043_,29.09
decoder.delay\[10\],29.08
_000_,28.48
_023_,27.12
_017_,26.64
_035_,26.45
net6,25.14
_111_,24.24
_032_,24.03
_047_,18.82
_085_,18.02
_022_,17.66
_002_,17.42
_049_,17.11
_029_,16.58
_108_,15.83
_028_,15.42
net7,12.5
_030_,12.24
_102_,11.24
_006_,9.28
net9,8.96
net8,8.72
net10,8.04
net11,8.04
seg[0],7.81
_055_,7.6
seg[4],7.47
seg[6],7.13
_097_,6.72
_018_,6.42
_019_,6.42
_082_,5.24
_036_,4.93
seg[3],4.61
_010_,4.34
seg[2],4.27
seg[1],3.93
seg[5],3.93
_053_,3.42
_105_,3.1
_039_,2.43
